Participant,Task,Mental_Dmnd,Phys_Dmnd,Temp_Dmnd,Perf,Effort,Frustration,NCS,DiffRating,EffRating,RelEffRating,n,ment,phys,temp,perf,effrt,frust,ncs
173,BLK,14.5,3.5,16.5,4,16.5,14,54,2,3,NA,NA,0.283162666,-0.13746928,0.943373716,-1.164294566,0.6803112,0.920993982,-0.807148895
173,RED,17,3.5,15.5,4.5,17.5,14.5,54,5,5,1,NA,0.736848704,-0.13746928,0.750560809,-1.06755357,0.854503543,1.008817293,-0.807148895
173,BLU,19.5,4.5,18,10,19,19,54,7,7,2,NA,1.190534743,0.086308947,1.232593076,-0.003402614,1.115792058,1.799227096,-0.807148895
173,PRP,19.5,5.5,19.5,15.5,19.5,19.5,54,10,10,2,NA,1.190534743,0.310087175,1.521812437,1.060748341,1.202888229,1.887050407,-0.807148895
174,BLK,15,2,14,4,11,4,60,3,4,NA,NA,0.373899873,-0.473136622,0.461341448,-1.164294566,-0.277746688,-0.835472247,-0.265830409
174,RED,18,2,14,3,15,4,60,4,5,1,NA,0.91832312,-0.473136622,0.461341448,-1.357776558,0.419022685,-0.835472247,-0.265830409
174,BLU,19,3,15,6,18,5,60,7,7,2,NA,1.099797535,-0.249358394,0.654154355,-0.777330582,0.941599714,-0.659825624,-0.265830409
174,PRP,19,3,17,11,19,7,60,9,10,2,NA,1.099797535,-0.249358394,1.039780169,0.190079378,1.115792058,-0.308532378,-0.265830409
175,BLK,14.5,10.5,15.5,8.5,10.5,15.5,55,2,2,NA,NA,0.283162666,1.428978313,0.750560809,-0.293625602,-0.364842859,1.184463916,-0.716929148
175,RED,16.5,12.5,15.5,2.5,14.5,13.5,55,4,5,0,NA,0.646111497,1.876534769,0.750560809,-1.454517554,0.331926513,0.83317067,-0.716929148
175,BLU,18.5,12.5,18.5,6.5,16.5,16.5,55,7,7,1,NA,1.009060328,1.876534769,1.32899953,-0.680589586,0.6803112,1.360110539,-0.716929148
175,PRP,19.5,17.5,18.5,9.5,17.5,17.5,55,10,9,2,NA,1.190534743,2.995425907,1.32899953,-0.10014361,0.854503543,1.535757161,-0.716929148
176,BLK,10.5,1.5,5.5,5.5,10.5,6.5,51,2,1,NA,NA,-0.442734996,-0.585025735,-1.177568262,-0.874071578,16.09633357,-0.39635569,-1.077808139
176,RED,12.5,3.5,5.5,4.5,14.5,9.5,51,3,3,1,NA,-0.079786165,-0.13746928,-1.177568262,-1.06755357,0.331926513,0.130584179,-1.077808139
176,BLU,20.5,3.5,13.5,19.5,3.5,13.5,51,8,9,2,NA,1.372009159,-0.13746928,0.364934995,1.834676309,-1.584189262,0.83317067,-1.077808139
176,PRP,20.5,2.5,16.5,20.5,5.5,19.5,51,10,10,2,NA,1.372009159,-0.361247508,0.943373716,2.028158301,-1.235804575,1.887050407,-1.077808139
177,BLK,10.5,3.5,5.5,8.5,8.5,7.5,52,2,1,NA,NA,-0.442734996,-0.13746928,-1.177568262,-0.293625602,-0.713227546,-0.220709067,-0.987588391
177,RED,9.5,5.5,3.5,3.5,7.5,2.5,52,3,4,1,NA,-0.624209412,0.310087175,-1.563194076,-1.261035562,-0.887419889,-1.098942181,-0.987588391
177,BLU,8.5,2.5,12.5,11.5,11.5,4.5,52,5,4,1,NA,-0.805683827,-0.361247508,0.172122088,0.286820374,-0.190650516,-0.747648935,-0.987588391
177,PRP,13.5,2.5,12.5,7.5,14.5,3.5,52,7,6,1,NA,0.10168825,-0.361247508,0.172122088,-0.487107594,0.331926513,-0.923295558,-0.987588391
178,BLK,15.5,10.5,10.5,4.5,14.5,5.5,55,2,3,NA,NA,0.464637081,1.428978313,-0.213503727,-1.06755357,0.331926513,-0.572002312,-0.716929148
178,RED,18.5,12.5,14.5,5.5,16.5,10.5,55,4,4,1,NA,1.009060328,1.876534769,0.557747902,-0.874071578,0.6803112,0.306230802,-0.716929148
178,BLU,20.5,15.5,13.5,11,19.5,15.5,55,6,6,2,NA,1.372009159,2.547869452,0.364934995,0.190079378,1.202888229,1.184463916,-0.716929148
178,PRP,18.5,15.5,13.5,12.5,16.5,11.5,55,10,9,2,NA,1.009060328,2.547869452,0.364934995,0.480302365,0.6803112,0.481877425,-0.716929148
179,BLK,16.5,4.5,19.5,15.5,16.5,12.5,51,3.5,2.5,NA,NA,0.646111497,0.086308947,1.521812437,1.060748341,0.6803112,0.657524047,-1.077808139
179,RED,11.5,3.5,12.5,15.5,12.5,10.5,51,3.5,3.5,-1,NA,-0.261260581,-0.13746928,0.172122088,1.060748341,-0.016458173,0.306230802,-1.077808139
179,BLU,19.5,10.5,15.5,3.5,15.5,16.5,51,8.5,7.5,2,NA,1.190534743,1.428978313,0.750560809,-1.261035562,0.506118856,1.360110539,-1.077808139
179,PRP,20.5,9.5,20.5,20.5,19.5,20.5,51,9.5,9.5,2,NA,1.372009159,1.205200086,1.714625344,2.028158301,1.202888229,2.06269703,-1.077808139
180,BLK,3.5,5.5,3.5,4.5,10.5,10.5,49,3,3,NA,NA,-1.713055905,0.310087175,-1.563194076,-1.06755357,-0.364842859,0.306230802,-1.258247634
180,RED,17.5,8.5,17.5,12.5,18.5,17.5,49,7,7,2,NA,0.827585912,0.981421858,1.136186623,0.480302365,1.028695886,1.535757161,-1.258247634
180,BLU,19.5,14.5,18.5,11,19,18.5,49,10,10,2,NA,1.190534743,2.324091224,1.32899953,0.190079378,1.115792058,1.711403784,-1.258247634
180,PRP,20.5,16.5,19.5,11,19.5,17.5,49,10,10,2,NA,1.372009159,2.771647679,1.521812437,0.190079378,1.202888229,1.535757161,-1.258247634
181,BLK,8.5,1.5,1.5,20.5,11.5,19.5,44,5,5,NA,NA,-0.805683827,-0.585025735,-1.94881989,2.028158301,-0.190650516,1.887050407,-1.709346373
181,RED,16.5,15.5,12.5,6.5,18.5,17.5,44,7,7,1,NA,0.646111497,2.547869452,0.172122088,-0.680589586,1.028695886,1.535757161,-1.709346373
181,BLU,20.5,20.5,15.5,15.5,20.5,20.5,44,7,7,1,NA,1.372009159,3.66676059,0.750560809,1.060748341,1.377080572,2.06269703,-1.709346373
181,PRP,20.5,20.5,20.5,18.5,18.5,18.5,44,10,10,2,NA,1.372009159,3.66676059,1.714625344,1.641194317,1.028695886,1.711403784,-1.709346373
182,BLK,5.5,1.5,6.5,4.5,5.5,1.5,54,3,4,NA,NA,-1.350107074,-0.585025735,-0.984755355,-1.06755357,-1.235804575,-1.274588804,-0.807148895
182,RED,6.5,1.5,4.5,9.5,11.5,11.5,54,5,5,1,NA,-1.168632658,-0.585025735,-1.370381169,-0.10014361,-0.190650516,0.481877425,-0.807148895
182,BLU,10.5,6.5,10.5,9.5,13.5,13.5,54,7,7,1,NA,-0.442734996,0.533865403,-0.213503727,-0.10014361,0.15773417,0.83317067,-0.807148895
182,PRP,16.5,7.5,13.5,16.5,16.5,18.5,54,9,9,2,NA,0.646111497,0.75764363,0.364934995,1.254230333,0.6803112,1.711403784,-0.807148895
183,BLK,13.5,3.5,5.5,5.5,13.5,4.5,57,2,2,NA,NA,0.10168825,-0.13746928,-1.177568262,-0.874071578,0.15773417,-0.747648935,-0.536489652
183,RED,14.5,4.5,6.5,10.5,12.5,9.5,57,6,6,2,NA,0.283162666,0.086308947,-0.984755355,0.093338382,-0.016458173,0.130584179,-0.536489652
183,BLU,16.5,6.5,4.5,8.5,14.5,6.5,57,8,6,2,NA,0.646111497,0.533865403,-1.370381169,-0.293625602,0.331926513,-0.39635569,-0.536489652
183,PRP,17.5,7.5,5.5,17.5,11.5,4.5,57,10,7,2,NA,0.827585912,0.75764363,-1.177568262,1.447712325,-0.190650516,-0.747648935,-0.536489652
184,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
185,BLK,3.5,5.5,1.5,4.5,1.5,4.5,57,1,1,NA,NA,-1.713055905,0.310087175,-1.94881989,-1.06755357,-1.932573948,-0.747648935,-0.536489652
185,RED,5.5,6.5,10.5,5.5,10.5,5.5,57,3,3,1,NA,-1.350107074,0.533865403,-0.213503727,-0.874071578,-0.364842859,-0.572002312,-0.536489652
185,BLU,11.5,11.5,8.5,11.5,11.5,11.5,57,5,5,2,NA,-0.261260581,1.652756541,-0.599129541,0.286820374,-0.190650516,0.481877425,-0.536489652
185,PRP,13.5,13.5,10.5,11.5,10.5,11.5,57,9,9,2,NA,0.10168825,2.100312996,-0.213503727,0.286820374,-0.364842859,0.481877425,-0.536489652
186,BLK,3.5,1.5,1.5,6.5,6.5,1.5,48,6,6,NA,NA,-1.713055905,-0.585025735,-1.94881989,-0.680589586,-1.061612232,-1.274588804,-1.348467382
186,RED,10.5,2.5,2.5,2.5,8.5,7.5,48,7,7,1,NA,-0.442734996,-0.361247508,-1.756006983,-1.454517554,-0.713227546,-0.220709067,-1.348467382
186,BLU,10.5,2.5,2.5,15.5,11.5,11.5,48,8,8,2,NA,-0.442734996,-0.361247508,-1.756006983,1.060748341,-0.190650516,0.481877425,-1.348467382
186,PRP,12.5,5.5,4.5,18.5,13.5,11.5,48,10,10,2,NA,-0.079786165,0.310087175,-1.370381169,1.641194317,0.15773417,0.481877425,-1.348467382
187,BLK,12.5,1.5,11.5,3.5,10.5,3.5,49,4,6,NA,NA,-0.079786165,-0.585025735,-0.02069082,-1.261035562,-0.364842859,-0.923295558,-1.258247634
187,RED,14.5,1.5,3.5,13.5,15.5,13.5,49,7,8,1,NA,0.283162666,-0.585025735,-1.563194076,0.673784357,0.506118856,0.83317067,-1.258247634
187,BLU,20.5,2.5,16.5,11.5,19.5,19.5,49,9,10,2,NA,1.372009159,-0.361247508,0.943373716,0.286820374,1.202888229,1.887050407,-1.258247634
187,PRP,19.5,2.5,13.5,6.5,20.5,17.5,49,10,10,2,NA,1.190534743,-0.361247508,0.364934995,-0.680589586,1.377080572,1.535757161,-1.258247634
188,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
189,BLK,4.5,2.5,9.5,9.5,11.5,6.5,NA,1,1,NA,NA,-1.531581489,-0.361247508,-0.406316634,-0.10014361,-0.190650516,-0.39635569,NA
189,RED,11.5,6.5,10.5,5.5,17.5,4.5,NA,2,2,1,NA,-0.261260581,0.533865403,-0.213503727,-0.874071578,0.854503543,-0.747648935,NA
189,BLU,18.5,8.5,19.5,9.5,17.5,15.5,NA,6,7,2,NA,1.009060328,0.981421858,1.521812437,-0.10014361,0.854503543,1.184463916,NA
189,PRP,19.5,5.5,19.5,12.5,19.5,20.5,NA,10,10,2,NA,1.190534743,0.310087175,1.521812437,0.480302365,1.202888229,2.06269703,NA
190,BLK,3.5,1.5,1.5,2.5,2.5,3.5,NA,1,1,NA,NA,-1.713055905,-0.585025735,-1.94881989,-1.454517554,-1.758381605,-0.923295558,NA
190,RED,6.5,1.5,3.5,6.5,6.5,3.5,NA,1,1,1,NA,-1.168632658,-0.585025735,-1.563194076,-0.680589586,-1.061612232,-0.923295558,NA
190,BLU,8.5,1.5,3.5,8.5,7.5,3.5,NA,3,2,1,NA,-0.805683827,-0.585025735,-1.563194076,-0.293625602,-0.887419889,-0.923295558,NA
190,PRP,10.5,1.5,4.5,7.5,7.5,3.5,NA,5,3,2,NA,-0.442734996,-0.585025735,-1.370381169,-0.487107594,-0.887419889,-0.923295558,NA
191,BLK,5,1,5,7,5,4,55,1,1,NA,NA,-1.440844282,-0.696914849,-1.273974715,-0.58384859,-1.322900747,-0.835472247,-0.716929148
191,RED,12.5,1.5,1.5,3.5,10.5,3.5,55,3,3,1,NA,-0.079786165,-0.585025735,-1.94881989,-1.261035562,-0.364842859,-0.923295558,-0.716929148
191,BLU,14.5,1.5,11.5,15.5,14.5,10.5,55,6,6,2,NA,0.283162666,-0.585025735,-0.02069082,1.060748341,0.331926513,0.306230802,-0.716929148
191,PRP,12.5,1.5,5.5,8.5,12.5,6.5,55,8,8,2,NA,-0.079786165,-0.585025735,-1.177568262,-0.293625602,-0.016458173,-0.39635569,-0.716929148
192,BLK,5.5,2.5,14.5,6.5,12.5,5.5,55,3,3,NA,NA,-1.350107074,-0.361247508,0.557747902,-0.680589586,-0.016458173,-0.572002312,-0.716929148
192,RED,8.5,2.5,12.5,6.5,12.5,3.5,55,2,4,-1,NA,-0.805683827,-0.361247508,0.172122088,-0.680589586,-0.016458173,-0.923295558,-0.716929148
192,BLU,16.5,2.5,15.5,17.5,17.5,15.5,55,8,7,2,NA,0.646111497,-0.361247508,0.750560809,1.447712325,0.854503543,1.184463916,-0.716929148
192,PRP,18.5,2.5,17.5,18.5,18.5,17.5,55,10,9,2,NA,1.009060328,-0.361247508,1.136186623,1.641194317,1.028695886,1.535757161,-0.716929148
193,BLK,4.5,4.5,2.5,1.5,3.5,2.5,46,1,1,NA,NA,-1.531581489,0.086308947,-1.756006983,-1.647999545,-1.584189262,-1.098942181,-1.528906878
193,RED,15.5,2.5,11.5,4.5,16.5,5.5,46,3,3,1,NA,0.464637081,-0.361247508,-0.02069082,-1.06755357,0.6803112,-0.572002312,-1.528906878
193,BLU,18.5,7.5,12.5,7.5,18.5,4.5,46,6,6,2,NA,1.009060328,0.75764363,0.172122088,-0.487107594,1.028695886,-0.747648935,-1.528906878
193,PRP,19.5,11.5,11.5,9.5,18.5,4.5,46,9,9,1,NA,1.190534743,1.652756541,-0.02069082,-0.10014361,1.028695886,-0.747648935,-1.528906878
194,BLK,15.5,5.5,2.5,1.5,5.5,1.5,55,5,7,NA,NA,0.464637081,0.310087175,-1.756006983,-1.647999545,-1.235804575,-1.274588804,-0.716929148
194,RED,19.5,11.5,11.5,5.5,20.5,11.5,55,8,9,1,NA,1.190534743,1.652756541,-0.02069082,-0.874071578,1.377080572,0.481877425,-0.716929148
194,BLU,20.5,18.5,20.5,4.5,20.5,14.5,55,10,10,2,NA,1.372009159,3.219204135,1.714625344,-1.06755357,1.377080572,1.008817293,-0.716929148
194,PRP,20.5,20.5,16.5,19.5,20.5,17.5,55,10,10,2,NA,1.372009159,3.66676059,0.943373716,1.834676309,1.377080572,1.535757161,-0.716929148
195,BLK,13,11,11,15,14.5,11,48,3,3,NA,NA,0.010951042,1.540867427,-0.117097273,0.964007345,0.331926513,0.394054113,-1.348467382
195,RED,14.5,12.5,11,6.5,14.5,16,48,4,4,1,NA,0.283162666,1.876534769,-0.117097273,-0.680589586,0.331926513,1.272287227,-1.348467382
195,BLU,17.5,17.5,15.5,16.5,15.5,16.5,48,7,7,2,NA,0.827585912,2.995425907,0.750560809,1.254230333,0.506118856,1.360110539,-1.348467382
195,PRP,18.5,18.5,16.5,20,19.5,16.5,48,10,10,2,NA,1.009060328,3.219204135,0.943373716,1.931417305,1.202888229,1.360110539,-1.348467382
196,BLK,15.5,2.5,12.5,7.5,11.5,7.5,47,6,5,NA,NA,0.464637081,-0.361247508,0.172122088,-0.487107594,-0.190650516,-0.220709067,-1.43868713
196,RED,19.5,2.5,18.5,17.5,10.5,17.5,47,7,7,1,NA,1.190534743,-0.361247508,1.32899953,1.447712325,-0.364842859,1.535757161,-1.43868713
196,BLU,20.5,3.5,20.5,19.5,19.5,19.5,47,9,9,2,NA,1.372009159,-0.13746928,1.714625344,1.834676309,1.202888229,1.887050407,-1.43868713
196,PRP,20.5,2.5,19.5,19,17.5,20.5,47,10,10,2,NA,1.372009159,-0.361247508,1.521812437,1.737935313,0.854503543,2.06269703,-1.43868713
197,BLK,5.5,1.5,3.5,3.5,3.5,3.5,54,1,1,NA,NA,-1.350107074,-0.585025735,-1.563194076,-1.261035562,-1.584189262,-0.923295558,-0.807148895
197,RED,10.5,3.5,4.5,3.5,10.5,3.5,54,3,3,1,NA,-0.442734996,-0.13746928,-1.370381169,-1.261035562,-0.364842859,-0.923295558,-0.807148895
197,BLU,14.5,4.5,12.5,7.5,15.5,7.5,54,6,6,1,NA,0.283162666,0.086308947,0.172122088,-0.487107594,0.506118856,-0.220709067,-0.807148895
197,PRP,20.5,6.5,15.5,10.5,19.5,11.5,54,10,10,2,NA,1.372009159,0.533865403,0.750560809,0.093338382,1.202888229,0.481877425,-0.807148895
198,BLK,15.5,4.5,13.5,13.5,15.5,15.5,57,3,3,NA,NA,0.464637081,0.086308947,0.364934995,0.673784357,0.506118856,1.184463916,-0.536489652
198,RED,18.5,10.5,16.5,14.5,17.5,15.5,57,5,5,1,NA,1.009060328,1.428978313,0.943373716,0.867266349,0.854503543,1.184463916,-0.536489652
198,BLU,19.5,12.5,18.5,13.5,18.5,17.5,57,8,8,2,NA,1.190534743,1.876534769,1.32899953,0.673784357,1.028695886,1.535757161,-0.536489652
198,PRP,19.5,12.5,19.5,13.5,19.5,14,57,10,10,2,NA,1.190534743,1.876534769,1.521812437,0.673784357,1.202888229,0.920993982,-0.536489652
199,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201,BLK,18.5,17.5,10.5,2.5,19.5,4.5,54,6,8,NA,NA,1.009060328,2.995425907,-0.213503727,-1.454517554,1.202888229,-0.747648935,-0.807148895
201,RED,20.5,12.5,17.5,3.5,20.5,3.5,54,8,7,1,NA,1.372009159,1.876534769,1.136186623,-1.261035562,1.377080572,-0.923295558,-0.807148895
201,BLU,20.5,18.5,17.5,18.5,20.5,18.5,54,9,8,1,NA,1.372009159,3.219204135,1.136186623,1.641194317,1.377080572,1.711403784,-0.807148895
201,PRP,20.5,19.5,19.5,17.5,20.5,17.5,54,10,10,2,NA,1.372009159,3.442982362,1.521812437,1.447712325,1.377080572,1.535757161,-0.807148895
202,BLK,20.5,1.5,10.5,10.5,11.5,1.5,47,8,8,NA,NA,1.372009159,-0.585025735,-0.213503727,0.093338382,-0.190650516,-1.274588804,-1.43868713
202,RED,18.5,18.5,2.5,4.5,18.5,6.5,47,8,8,0,NA,1.009060328,3.219204135,-1.756006983,-1.06755357,1.028695886,-0.39635569,-1.43868713
202,BLU,18.5,18.5,3.5,3.5,17.5,1.5,47,3,5,-1,NA,1.009060328,3.219204135,-1.563194076,-1.261035562,0.854503543,-1.274588804,-1.43868713
202,PRP,18.5,17.5,2.5,3.5,18.5,2.5,47,5,5,1,NA,1.009060328,2.995425907,-1.756006983,-1.261035562,1.028695886,-1.098942181,-1.43868713
